#tail	head	KSP index	path cost
Q9NQC3	P15336	316	4.21875e-01
O43639	Q9NYB9	317	4.21875e-01
Q9NYB9	P00519	317	4.21875e-01
O43639	Q9NZQ3	318	4.21875e-01
Q9NZQ3	P00519	318	4.21875e-01
P06239	P03372	319	4.21875e-01
P03372	P01100	319	4.21875e-01
P03372	P05412	320	4.21875e-01
P03372	P17676	321	4.21875e-01
P03372	P42229	322	4.21875e-01
P03372	Q04206	323	4.21875e-01
P03372	Q07666	324	4.21875e-01
P03372	Q92793	325	4.21875e-01
P06239	P04150	326	4.21875e-01
P06239	P07900	332	4.21875e-01
P06239	P08238	335	4.21875e-01
P08238	O14920	335	4.21875e-01
P08238	P35222	336	4.21875e-01
P06239	P0CG48	337	4.21875e-01
P06239	P10275	343	4.21875e-01
P06239	P10721	349	4.21875e-01
P06239	P15941	353	4.21875e-01
P15941	O14920	353	4.21875e-01
P15941	P35222	354	4.21875e-01
P15941	Q04206	355	4.21875e-01
P06239	P16070	356	4.21875e-01
P16070	P15336	356	4.21875e-01
P06239	P20749	357	4.21875e-01
P20749	P01100	357	4.21875e-01
P06239	P12235	358	4.21875e-01
P12235	P25963	358	4.21875e-01
P20749	P05412	359	4.21875e-01
P06239	P27986	360	4.21875e-01
P27986	P00519	360	4.21875e-01
P27986	P25963	361	4.21875e-01
P27986	P35222	362	4.21875e-01
P27986	P42229	363	4.21875e-01
P27986	Q07666	364	4.21875e-01
P06239	P28482	365	4.21875e-01
P06239	P08575	366	4.21875e-01
P08575	P35222	366	4.21875e-01
P06239	P08581	367	4.21875e-01
P06239	P16284	369	4.21875e-01
P16284	P35222	369	4.21875e-01
P06239	P22681	370	4.21875e-01
P22681	P35222	370	4.21875e-01
P22681	P42229	371	4.21875e-01
P22681	Q07666	372	4.21875e-01
P22681	Q9H6Q3	373	4.21875e-01
P06239	P23470	374	4.21875e-01
P23470	P35222	374	4.21875e-01
P06239	P24666	375	4.21875e-01
P24666	P35222	375	4.21875e-01
P06239	P25445	376	4.21875e-01
P25445	P35222	376	4.21875e-01
P06239	P40763	383	4.21875e-01
P06239	O00459	384	4.21875e-01
O00459	P42229	384	4.21875e-01
P06239	O14543	385	4.21875e-01
O14543	P42229	385	4.21875e-01
O14543	P51692	386	4.21875e-01
P06239	P14784	387	4.21875e-01
P14784	P42229	387	4.21875e-01
P14784	P51692	388	4.21875e-01
P06239	P16410	389	4.21875e-01
P16410	P42229	389	4.21875e-01
P16410	P51692	390	4.21875e-01
P06239	P20963	391	4.21875e-01
P06239	P32927	394	4.21875e-01
P32927	P42229	394	4.21875e-01
